feature,importance
FT_PCT,0.06746570414462194
FG3A,0.034455831497423164
FT_PCT_LAG1,0.03419583666466173
THREE_PT_VOLUME,0.03298637132947284
FG3M,0.030014818513978962
FG3_PCT,0.027425770055588806
ADV_PCT_PTS_2PT,0.026506682027842312
ADV_OREB_PCT,0.02519309133215525
ADV_PCT_PTS_3PT,0.023897022088646303
ADV_PCT_FGA_2PT,0.02008964294284357
THREE_PT_RATE,0.019742404987730933
PTS_PER_ATTEMPT,0.01766020759873606
SHOOTING_EFFICIENCY,0.017148532067703372
PTS_PER_MIN,0.015091099161350438
ADV_PCT_FGA_3PT,0.014742214977289182
PTS_PACE_ADJ,0.014654862090630216
PTS,0.011883512036481518
WEIGHT,0.011502140276852996
ADV_REB_PCT,0.011279335116412232
FG3A_LAG1,0.01068959985331471
FGA,0.010488683490005285
ADV_TS_PCT,0.010425603961017398
FG_PCT,0.010259610547898044
ADV_DREB_PCT,0.010080433222852994
FGM,0.009959286209162319
ADV_EFG_PCT,0.009845049557573078
ADV_OFF_RATING,0.009495340563133055
ADV_DEF_RATING,0.009432853998162063
USAGE_MINUTES_PRODUCT,0.009269097908958916
TOTAL_MINUTES,0.0089556427949941
MIN,0.008911021253264505
FGA_PER_MIN,0.008009772301594017
ADV_AST_TO,0.007926593516299773
MPG,0.007844874821051017
EXP_MIN_INTERACTION,0.007709551112848241
GP,0.007508083601128583
USAGE_RATE,0.007439462478197279
ADV_NET_RATING,0.007355980534191113
GP_RATE,0.0073482144377282
PACE_USAGE_INTERACTION,0.007322943798736837
ADV_PIE,0.007314182276242824
AGE_USAGE_INTERACTION,0.007183342371524587
BMI,0.0071308089481798365
GP_RATE_CURRENT,0.0070572226221796005
GAMES_MISSED,0.007001451208381324
AST,0.006820731544942982
AGE_MINUTES_RISK,0.006610398265147232
ADV_USG_PCT,0.006610241369759369
MIN_EFFICIENCY_INTERACTION,0.006582846052636931
AGE_TEAM_QUALITY,0.0065223079295876184
HEIGHT_INCHES,0.006521257777047102
ADV_PACE,0.0065009778736618016
ADV_AST_RATIO,0.006220806140056518
FG_PCT_LAG1,0.006211817263612935
