feature,importance
BLK,0.11169863682322148
DEFENSIVE_STATS,0.06716478905669825
IS_CENTER,0.04974105769134904
BLK_LAG1,0.049661157969856234
HEIGHT_INCHES,0.04628565307995853
REB_PACE_ADJ,0.043504624881645367
HEIGHT_CAT,0.03836363820082687
ADV_REB_PCT,0.032551205550577514
WEIGHT,0.030722136730377513
DEFENDER_ROLE,0.02997326794234872
REB,0.029825944539878867
FG_PCT,0.018223926364379178
ADV_PCT_FGA_2PT,0.015782543827183197
IS_GUARD,0.015737213490559468
ADV_PCT_FGA_3PT,0.01427275990772994
ADV_DREB_PCT,0.014045727391958645
BLK_AVG2,0.011846039268329058
THREE_PT_RATE,0.011187141704901043
POS_Center,0.01097574858519818
PTS_PER_ATTEMPT,0.010828232723097058
ADV_PCT_PTS_3PT,0.010686427275413817
ADV_OREB_PCT,0.010492204758868584
PTS_PACE_ADJ,0.009736080101699292
ADV_PCT_PTS_2PT,0.009577491375568195
SHOOTING_EFFICIENCY,0.009514499766873104
AST_TO_RATIO,0.009185144734327532
BLK_LAG2,0.008364257961412021
MIN_EFFICIENCY_INTERACTION,0.00836041436739267
PTS,0.00755774100331175
ADV_TS_PCT,0.007425584472011818
THREE_PT_VOLUME,0.0073499419213269015
ADV_EFG_PCT,0.006921320699539838
AST_PACE_ADJ,0.006724874257434038
ADV_AST_RATIO,0.006336613287182896
ADV_AST_PCT,0.006076805914970883
FG3A,0.00606475496640924
AGE_MINUTES_RISK,0.005652301534380528
STL,0.005480084105833311
WEIGHT_CAT,0.005382902034156311
ADV_PIE,0.004978031597167027
MIN,0.004965772045803715
PTS_PER_MIN,0.004902221535854008
REBOUNDER_ROLE,0.004884923251376077
ADV_TM_TOV_PCT,0.004860919783144914
TOTAL_MINUTES,0.004821068876932012
REB_LAG1,0.004633891133834866
FTM,0.004443083550205675
ADV_AST_TO,0.004395086447735893
POS_Guard,0.004363441210553187
FGA_PER_MIN,0.004187166569789473
MPG,0.0039034844718729756
FG3_PCT,0.0038644301016011614
AST,0.0038131865853504522
PACE_USAGE_INTERACTION,0.0037033825880944744
ADV_OFF_RATING,0.0036500853123192806
FG_PCT_LAG1,0.0036097317858214155
FGM,0.0034992597763545226
FT_PCT,0.003408480520218176
GP_RATE,0.0033360402084437846
USAGE_MINUTES_PRODUCT,0.0032769067324977
USAGE_RATE,0.003133377179796553
GP_RATE_CURRENT,0.0030549245581884587
GP_LAG1_RATE,0.003004711928826605
REB_AVG2,0.0028734921027079897
BMI,0.0028674467535865235
FG3M,0.0028261576675788617
FG3M_LAG1,0.002814352241174074
FGA,0.002627665010533369
FTA,0.0025373145265102748
GP_LAG1,0.002305308376273382
MIN_LAG1,0.002273535457700825
IS_FORWARD,0.0021680035280910634
AGE_USAGE_INTERACTION,0.0021435417330239364
YEARS_EXPERIENCE,0.0021028063733356554
AST_LAG1,0.002072335419153642
TEAM_PACE,0.0019264374024307628
TEAM_NET_RATING_ABS,0.0019253988717436619
ADV_AST_PCT_LAG1,0.0017743184641445876
MISSED_GAMES_LAG1,0.0017386467233016752
ADV_REB_PCT_LAG1,0.001735351842083747
DRAFT_NUMBER,0.0017299157693207096
GAMES_MISSED,0.0017228317408166075
POS_Forward,0.0017191103177273425
FG3A_LAG1,0.0016915529590854955
ADV_NET_RATING,0.001687359727261532
POS_Forward-Center,0.0016621878116924312
AGE_TEAM_QUALITY,0.0016262991159492611
PTS_LAG1,0.0016005022857098284
TOV_LAG1,0.0015885259623858582
TEAM_TM_TOV_PCT,0.001577431372870771
GP,0.0015769863678255782
ADV_PACE,0.00157431466869051
POS_Center-Forward,0.0015370655009295186
TEAM_DEF_STRENGTH,0.0015354435578875088
ADV_USG_PCT,0.0015042248940785779
EXP_MIN_INTERACTION,0.0014600306411566549
TEAM_NET_RATING,0.0013865873385894068
TEAM_W,0.0013772312005430809
FGM_LAG1,0.0012292566128006598
TEAM_DEF_RATING,0.0012011814173856928
TEAM_L,0.0011647274791012807
TOV,0.001134174717357457
TEAM_FTA_RATE,0.0011318029734685266
PACE_ADJUSTMENT,0.0011269317215027138
LOW_WORKLOAD,0.0010782033911199587
ADV_DEF_RATING,0.001056870566002521
TEAM_EFG_PCT,0.001029811566586982
TEAM_OREB_PCT,0.0009348206947886585
STL_LAG1,0.0008776925225904983
FTM_LAG1,0.0008642870470205722
TEAM_OFF_STRENGTH,0.000861709880857994
FT_PCT_LAG1,0.000854862482533002
ADV_USG_PCT_LAG1,0.0008039949005878516
AGE_SQUARED,0.0007883018560019088
TEAM_W_PCT,0.000769522071623063
