NEXT_PTS,NEXT_AST,NEXT_REB,NEXT_BLK,NEXT_STL,NEXT_TOV,NEXT_MIN,NEXT_FG3M,NEXT_FGA,NEXT_FTA,NEXT_FG_PCT,NEXT_FT_PCT
13.9,1.1,2.6,0.3,0.6,0.9,26.2,2.2,10.1,2.3,0.486,0.831
9.9,1.3,4.2,0.2,0.9,0.5,26.0,2.2,7.6,0.8,0.458,0.833
7.6,1.3,4.6,0.2,0.6,0.5,23.7,1.8,6.9,0.7,0.392,0.659
5.6,2.1,3.1,0.3,0.5,0.6,22.1,1.1,4.6,0.8,0.435,0.759
10.2,1.8,2.8,0.4,0.9,1.0,24.6,1.6,8.2,1.7,0.438,0.889
10.1,2.7,2.7,0.3,1.1,1.3,23.5,1.6,8.5,1.2,0.431,0.852
9.9,2.4,2.8,0.3,0.6,0.8,25.6,1.5,8.1,1.3,0.444,0.944
7.0,1.8,5.4,0.4,0.9,0.8,22.6,0.5,5.4,1.2,0.522,0.702
6.8,1.8,5.4,0.6,0.9,0.6,21.2,0.2,4.7,1.2,0.61,0.696
5.7,1.9,5.0,0.3,1.0,0.8,19.9,0.4,4.0,1.0,0.573,0.77
7.4,2.5,4.8,0.4,1.1,1.0,31.2,1.5,5.8,0.7,0.457,0.804
8.8,3.7,5.1,0.6,0.9,1.5,31.7,2.1,7.8,0.9,0.386,0.725
7.7,2.8,4.8,0.6,0.7,0.9,24.7,2.0,6.8,0.4,0.397,0.686
6.9,6.1,6.3,0.6,1.3,2.3,26.3,0.0,5.6,1.4,0.566,0.439
6.1,5.7,7.9,0.6,0.8,1.8,23.9,0.0,4.9,1.0,0.581,0.4
18.9,5.2,12.1,0.4,1.0,3.1,34.4,0.6,12.5,5.4,0.573,0.741
19.1,7.3,12.3,0.5,0.8,2.9,34.6,0.4,11.9,5.5,0.615,0.742
19.4,8.2,13.7,0.6,0.9,3.3,35.7,0.4,13.0,5.1,0.594,0.704
12.1,1.5,2.9,0.2,0.5,0.5,25.0,3.0,10.8,0.8,0.391,0.817
12.7,1.5,3.5,0.1,0.8,1.1,25.8,2.9,11.6,0.8,0.395,0.769
11.3,1.4,3.7,0.1,0.7,0.7,29.6,2.8,9.1,0.4,0.443,0.714
13.2,5.6,4.5,0.5,1.1,1.6,25.8,0.8,9.8,2.4,0.537,0.774
5.4,3.8,2.9,0.4,1.0,1.2,18.9,0.6,4.7,0.5,0.47,0.688
15.6,2.8,4.4,0.3,0.9,1.9,30.8,3.2,13.6,1.6,0.406,0.874
16.8,2.8,5.0,0.3,1.2,1.7,31.0,3.6,13.0,1.6,0.458,0.822
12.1,2.8,3.2,0.5,0.8,1.2,25.7,2.6,10.1,0.7,0.436,0.881
22.7,5.6,5.8,0.5,0.6,2.7,34.0,1.3,17.9,5.9,0.461,0.826
24.7,5.8,5.5,0.4,0.7,3.3,34.2,1.4,18.6,6.0,0.484,0.882
20.8,5.7,5.1,0.6,0.8,2.5,32.9,1.3,15.9,4.8,0.492,0.801
17.0,4.3,3.7,0.4,0.9,1.9,30.7,1.4,14.7,3.3,0.444,0.756
12.1,3.9,3.8,0.3,1.0,1.6,30.2,1.7,10.0,2.4,0.431,0.722
14.0,5.1,4.1,0.5,1.1,1.7,28.8,1.6,12.1,3.0,0.421,0.766
21.1,9.2,8.3,0.3,2.0,2.6,34.8,1.4,18.3,3.6,0.462,0.794
20.5,6.1,5.3,0.3,1.5,2.2,36.4,1.8,17.8,2.6,0.464,0.832
22.5,6.4,5.3,0.3,1.4,2.6,35.7,2.6,18.8,3.4,0.459,0.794
20.0,6.2,4.0,0.2,1.0,2.2,32.8,2.6,16.0,3.3,0.454,0.833
21.2,6.5,4.1,0.7,1.0,2.1,31.5,2.5,16.7,3.1,0.481,0.853
13.5,2.8,9.3,1.7,0.7,1.6,29.0,0.0,9.8,2.8,0.618,0.495
12.5,2.7,9.1,1.2,0.9,1.7,26.5,0.0,8.6,2.8,0.629,0.592
11.1,2.5,8.6,1.5,0.7,1.5,26.4,0.0,7.6,2.1,0.656,0.551
7.3,1.0,2.5,0.3,0.7,0.8,17.1,1.2,5.7,1.2,0.454,0.756
9.1,1.6,2.4,0.3,0.5,1.3,22.1,1.4,7.0,1.4,0.467,0.844
8.9,1.5,2.9,0.4,0.7,0.9,27.0,1.8,7.3,0.9,0.442,0.735
23.6,3.5,6.1,0.3,1.1,2.7,33.6,2.5,18.4,4.8,0.473,0.758
26.6,3.5,6.9,0.4,1.1,2.9,35.9,2.4,20.6,5.1,0.491,0.765
23.0,3.6,5.5,0.5,1.2,2.4,33.5,2.1,17.9,4.3,0.499,0.703
19.1,5.9,5.1,0.4,0.8,2.1,33.5,1.6,15.1,4.6,0.448,0.856
14.9,3.7,4.2,0.3,0.7,1.5,26.0,2.0,10.9,2.7,0.484,0.87
15.7,5.5,3.8,0.2,0.7,1.5,28.7,2.1,12.7,3.0,0.44,0.819
9.2,1.3,2.7,0.2,0.4,0.8,22.8,2.1,7.4,0.8,0.437,0.881
8.2,1.0,2.4,0.2,0.4,0.7,19.4,2.0,6.4,0.6,0.442,0.867
9.4,1.2,3.4,0.2,0.4,0.9,22.3,1.8,7.7,0.7,0.449,0.85
7.1,0.9,3.5,0.3,1.4,0.6,17.6,0.6,4.8,0.8,0.616,0.603
4.6,1.4,3.1,0.2,1.0,0.7,16.7,0.6,3.1,0.3,0.594,0.857
5.5,1.1,2.6,0.4,0.9,0.6,15.5,0.5,4.2,0.5,0.563,0.609
22.8,5.3,8.5,0.6,1.3,2.7,37.9,1.1,17.8,5.6,0.494,0.749
24.2,5.8,7.8,0.5,0.9,2.4,37.4,1.3,18.5,6.7,0.48,0.774
21.7,4.3,7.1,0.3,0.8,1.8,33.2,1.1,15.9,5.0,0.536,0.732
7.4,1.0,3.2,0.1,0.6,0.6,19.9,1.0,6.1,1.2,0.441,0.88
8.2,1.3,3.0,0.1,0.4,1.1,20.4,1.5,6.1,1.4,0.442,0.904
3.3,0.4,0.8,0.0,0.2,0.4,5.8,0.4,3.0,0.8,0.365,0.952
10.3,1.6,8.5,1.0,0.5,1.5,24.4,0.0,6.5,3.0,0.626,0.727
10.8,1.0,9.9,1.3,0.4,1.5,28.5,0.0,6.8,3.1,0.634,0.697
11.7,1.4,9.2,1.2,0.3,1.2,26.4,0.0,7.6,2.4,0.649,0.723
11.0,1.9,4.7,0.5,1.1,1.0,33.0,2.2,8.7,1.0,0.471,0.675
8.3,1.5,4.8,0.5,0.8,0.9,30.4,1.7,7.6,0.9,0.391,0.763
8.5,1.6,4.7,0.6,0.8,0.9,28.4,1.7,7.5,0.7,0.421,0.717
20.3,6.7,4.4,0.5,1.7,2.6,37.9,3.7,16.9,3.4,0.403,0.874
19.3,7.2,4.1,0.6,1.8,2.0,36.7,3.0,16.1,4.1,0.393,0.898
17.4,8.1,3.8,0.8,1.4,1.7,36.8,3.1,13.9,3.1,0.416,0.86
5.6,0.6,3.3,0.6,0.5,0.6,17.6,0.4,3.8,1.4,0.538,0.8
5.0,0.5,2.4,0.6,0.5,0.4,14.0,0.4,3.6,1.3,0.5,0.738
8.6,1.0,3.3,0.7,0.7,0.9,23.5,1.1,6.5,1.8,0.483,0.713
7.4,4.0,3.6,0.4,1.7,1.4,28.0,1.0,6.2,1.8,0.398,0.795
5.6,2.9,2.9,0.7,1.5,1.1,23.5,0.8,4.3,1.1,0.455,0.808
10.1,3.5,3.8,1.0,1.7,1.4,28.7,1.9,7.6,1.4,0.468,0.76
14.0,5.7,3.9,0.4,1.5,2.3,29.6,0.5,11.3,2.4,0.514,0.783
7.8,2.8,3.2,0.3,1.0,1.2,21.2,0.1,7.6,0.8,0.472,0.697
13.0,5.1,5.4,0.9,1.8,2.3,34.6,3.1,10.9,0.8,0.423,0.75
7.6,3.3,3.4,0.5,1.3,1.2,22.2,1.9,6.9,0.8,0.366,0.815
23.2,5.6,3.9,0.4,1.2,2.8,35.3,1.3,18.5,5.9,0.473,0.75
25.0,6.1,4.2,0.3,1.1,2.5,33.4,1.6,18.2,6.0,0.512,0.78
26.6,5.6,4.6,0.4,2.0,2.6,35.9,2.9,20.9,5.7,0.465,0.738
26.9,4.4,8.0,0.6,1.0,2.9,35.9,3.0,20.6,6.2,0.453,0.853
30.1,4.6,8.8,0.7,1.1,2.9,36.9,3.2,21.1,8.4,0.466,0.854
26.9,4.9,8.1,0.6,1.0,2.5,35.7,3.1,19.3,6.7,0.471,0.833
13.8,2.9,3.4,0.4,0.8,1.6,28.1,2.3,10.9,1.5,0.473,0.795
13.5,3.9,2.6,0.3,0.6,1.9,22.3,1.9,10.3,2.7,0.448,0.889
15.4,5.1,2.9,0.5,0.6,2.1,26.0,2.1,12.4,2.8,0.443,0.829
6.8,0.5,4.5,1.2,0.7,0.5,15.8,0.7,4.9,1.4,0.51,0.72
14.8,1.3,5.7,0.5,0.7,0.9,30.8,2.2,11.5,2.6,0.445,0.868
25.6,1.9,8.6,0.6,0.6,1.9,34.4,3.0,17.3,6.0,0.499,0.875
23.2,2.0,8.2,0.5,0.9,1.4,33.1,3.2,16.2,5.0,0.48,0.899
25.9,5.3,4.2,0.2,1.5,3.0,33.8,3.5,20.5,4.7,0.448,0.853
28.3,4.4,4.3,0.4,1.5,2.6,35.8,3.6,20.6,5.4,0.484,0.867
26.6,6.1,5.1,0.5,1.8,2.8,35.3,3.3,19.8,5.8,0.462,0.865
11.9,2.1,3.3,0.1,0.6,0.9,27.4,2.7,9.1,1.1,0.449,0.896
9.3,1.5,2.7,0.1,0.5,0.8,22.3,2.3,6.5,0.7,0.492,0.949
11.0,3.5,2.9,0.1,0.5,1.4,25.6,2.7,8.1,1.2,0.448,0.889
11.6,2.9,6.4,0.8,0.6,2.0,22.9,0.9,8.7,2.3,0.518,0.761
11.2,2.8,5.4,0.8,0.5,1.9,22.1,0.8,8.9,2.3,0.484,0.753
16.2,1.8,7.8,1.0,0.6,1.1,30.8,1.2,11.9,3.1,0.526,0.793
13.1,1.2,6.5,1.0,0.6,1.1,30.0,1.0,10.0,2.5,0.508,0.803
15.1,1.1,8.5,0.9,0.6,1.4,28.0,1.3,11.0,2.7,0.532,0.795
17.1,2.6,5.5,0.5,1.5,1.7,36.0,2.4,14.5,2.5,0.443,0.754
16.8,2.0,5.0,0.7,1.9,2.0,35.6,2.1,13.2,2.5,0.476,0.838
14.7,2.1,4.2,0.7,1.4,1.6,34.0,2.0,11.5,1.8,0.489,0.753
16.1,1.6,10.8,1.3,0.8,1.7,32.3,0.0,9.7,4.2,0.677,0.708
14.3,1.7,9.8,1.2,0.8,1.4,32.6,0.0,9.2,3.3,0.644,0.733
16.5,2.7,10.5,1.1,0.7,1.6,31.7,0.0,10.6,4.1,0.634,0.742
19.1,3.4,10.1,0.8,1.4,2.6,32.6,0.0,13.0,6.1,0.557,0.753
20.4,3.2,9.2,0.8,1.2,2.5,34.6,0.0,14.9,5.4,0.54,0.806
19.3,3.9,10.4,0.9,1.1,2.3,34.0,0.2,14.3,5.5,0.521,0.755
8.3,2.4,4.9,1.1,0.7,1.2,17.9,0.2,5.4,1.9,0.626,0.689
5.0,1.2,6.5,0.8,0.6,0.8,19.9,0.1,4.0,0.9,0.535,0.676
7.8,2.5,8.3,1.1,1.2,1.2,25.3,0.0,4.9,2.1,0.644,0.707
3.0,0.5,3.4,0.6,0.2,0.6,10.0,0.0,2.2,0.5,0.585,0.655
1.6,0.1,0.9,0.1,0.1,0.1,2.8,0.3,1.0,0.3,0.5,1.0
4.4,0.4,3.0,0.6,0.1,0.4,8.1,0.1,3.2,0.4,0.644,0.333
17.1,3.5,8.5,0.9,0.6,2.6,33.4,1.9,14.2,3.3,0.452,0.712
21.2,3.7,7.2,0.5,0.6,3.0,35.0,2.5,17.8,3.7,0.448,0.73
22.2,4.2,6.6,0.7,0.5,2.7,32.6,2.2,18.8,3.4,0.463,0.775
13.2,4.9,3.5,0.8,0.9,1.6,29.3,1.5,10.7,3.1,0.421,0.864
12.4,3.9,3.6,0.9,0.7,1.2,28.3,1.8,9.2,2.3,0.462,0.875
15.2,5.2,4.2,1.2,1.0,1.5,32.6,2.7,11.5,2.1,0.461,0.901
14.9,4.1,7.2,0.2,1.1,2.1,33.2,1.4,10.5,3.9,0.504,0.758
9.8,3.8,7.8,0.3,1.2,1.5,32.3,0.8,6.8,2.3,0.529,0.75
9.4,4.1,8.3,0.3,0.9,1.5,33.4,1.0,8.4,1.4,0.434,0.791
5.4,1.6,3.5,0.3,0.6,0.7,18.9,0.8,5.5,0.7,0.364,0.769
1.4,0.6,0.9,0.1,0.4,0.3,5.0,0.1,2.1,0.0,0.303,0.0
18.4,2.8,3.2,0.3,1.1,1.6,27.7,1.4,16.4,3.3,0.432,0.849
14.3,2.6,3.3,0.2,0.9,1.4,30.3,2.0,13.6,2.1,0.396,0.779
12.7,1.7,3.4,0.1,0.9,1.2,30.9,1.8,10.7,2.0,0.428,0.844
7.4,0.9,4.0,0.8,0.2,0.7,16.3,0.4,5.5,1.5,0.52,0.875
9.8,0.5,5.7,0.5,0.3,0.6,18.3,0.4,6.3,2.1,0.623,0.738
5.7,0.6,3.7,0.4,0.3,0.6,11.6,0.1,3.9,1.2,0.577,0.872
12.6,4.4,3.0,0.2,0.7,1.0,29.9,1.7,10.3,1.1,0.484,0.869
10.3,5.3,3.4,0.2,0.7,1.0,27.4,1.3,8.3,1.2,0.48,0.831
5.0,2.1,1.7,0.3,0.6,0.2,14.4,0.8,4.6,0.6,0.405,0.684
4.1,1.1,2.1,0.2,0.1,0.6,11.8,0.5,2.7,0.9,0.561,0.643
5.0,1.3,2.1,0.2,0.4,0.6,14.8,0.7,3.8,0.7,0.476,0.927
1.8,0.7,2.5,0.2,0.2,0.8,10.4,0.3,2.0,0.0,0.385,0.0
2.0,0.6,1.9,0.2,0.2,0.0,6.9,0.0,1.8,0.4,0.481,0.667
3.8,0.8,2.9,0.7,0.2,0.4,11.7,0.0,2.5,0.6,0.665,0.821
5.3,1.1,4.1,1.0,0.4,0.3,15.6,0.0,3.2,0.9,0.7,0.907
9.4,0.3,6.2,0.9,0.6,0.5,21.1,0.9,7.2,2.4,0.464,0.777
9.4,0.4,5.5,0.8,0.6,0.5,20.0,0.8,7.0,2.2,0.493,0.762
6.4,0.5,4.1,0.5,0.3,0.6,14.1,0.6,4.3,1.8,0.507,0.772
8.2,0.9,4.9,0.7,0.4,1.0,20.8,0.7,6.2,1.5,0.519,0.681
6.3,1.0,4.1,0.9,0.4,0.7,16.9,0.4,4.9,0.8,0.532,0.76
7.0,1.2,5.9,1.0,0.5,0.8,24.6,1.4,6.0,1.1,0.398,0.708
5.9,1.4,3.6,0.8,0.3,0.7,25.1,1.1,4.6,1.0,0.456,0.711
4.4,1.6,3.3,0.7,0.4,0.7,20.3,0.7,3.4,1.1,0.432,0.702
6.6,1.2,4.0,0.5,0.6,0.9,20.5,1.0,5.7,0.7,0.454,0.75
7.4,1.5,5.4,0.8,0.6,0.9,24.7,1.3,6.3,0.6,0.456,0.711
5.7,1.1,4.1,0.4,0.6,0.6,19.8,1.1,4.7,0.7,0.43,0.75
11.1,1.5,3.4,0.3,0.7,0.7,27.3,2.4,8.6,1.1,0.448,0.865
10.4,2.3,3.3,0.2,0.9,1.0,27.4,2.0,7.7,1.8,0.44,0.905
13.5,3.0,3.9,0.6,0.9,1.3,33.5,2.7,9.1,2.0,0.499,0.878
11.3,0.8,7.0,0.4,0.5,0.8,23.9,0.5,9.3,2.1,0.504,0.663
12.0,0.9,6.4,0.7,0.5,1.1,23.6,0.5,9.1,2.6,0.529,0.75
11.7,1.1,6.2,0.7,0.4,1.2,21.1,0.2,8.2,2.5,0.586,0.762
10.6,1.2,8.1,1.7,0.5,1.1,25.7,1.5,8.7,1.0,0.48,0.781
6.6,0.9,4.6,0.9,0.3,0.6,15.7,1.0,4.9,1.3,0.485,0.661
4.4,0.7,4.2,1.1,0.4,0.7,13.0,0.4,3.5,0.9,0.49,0.68
14.2,2.3,4.2,0.4,1.2,0.8,34.8,1.4,10.5,1.9,0.534,0.834
20.1,3.3,4.4,0.7,1.1,1.5,35.7,2.0,15.3,4.3,0.468,0.895
19.6,3.6,4.5,0.4,1.0,2.0,34.8,2.7,15.8,3.9,0.436,0.814
20.2,3.8,7.0,0.8,0.9,1.9,35.5,1.9,15.2,4.2,0.491,0.802
21.0,3.3,7.3,0.5,0.9,2.0,37.4,2.3,17.5,3.1,0.462,0.825
9.0,2.1,4.8,0.7,1.1,0.8,24.6,0.5,7.0,1.8,0.506,0.758
11.5,3.4,4.1,0.6,1.1,1.5,28.5,1.1,9.3,1.9,0.483,0.758
10.8,2.9,4.2,0.3,0.9,1.3,27.8,0.8,8.7,2.1,0.478,0.824
16.3,4.8,3.9,0.0,0.8,1.6,31.9,1.2,12.8,2.7,0.502,0.84
24.0,6.2,3.5,0.2,0.9,2.1,35.0,2.0,17.6,5.8,0.491,0.829
28.7,6.7,3.6,0.2,0.9,2.4,35.4,2.7,21.4,6.5,0.479,0.847
4.2,1.5,1.7,0.2,0.4,0.5,13.7,1.0,3.8,0.3,0.387,0.833
8.0,2.4,2.5,0.4,0.8,1.0,22.4,1.8,7.0,0.5,0.423,0.816
5.0,1.3,0.8,0.2,0.5,0.5,13.9,1.1,5.1,0.1,0.378,0.571
15.0,2.8,10.5,0.7,0.6,1.9,29.9,1.1,11.0,3.3,0.525,0.691
15.2,2.3,8.7,0.6,0.5,1.9,29.6,1.4,10.8,3.4,0.525,0.738
11.0,1.7,6.9,0.5,0.6,1.2,25.6,1.2,7.7,2.4,0.525,0.694
9.0,2.8,4.0,0.2,1.1,1.7,23.9,1.8,8.0,2.0,0.351,0.843
9.4,3.5,4.5,0.1,1.3,1.6,26.3,2.1,7.5,1.0,0.435,0.817
15.5,2.7,3.7,0.4,1.3,1.4,29.1,3.5,12.4,1.4,0.443,0.754
2.9,0.2,1.8,0.4,0.0,0.5,5.1,0.0,1.8,0.8,0.655,0.625
3.9,0.8,3.5,0.9,0.2,0.6,10.4,0.0,2.9,1.3,0.527,0.7
6.3,1.0,4.3,0.6,0.6,1.0,15.2,0.0,4.2,2.1,0.583,0.667
24.5,5.9,5.0,0.8,1.3,2.8,34.7,1.6,18.8,7.2,0.453,0.81
31.4,5.5,4.8,1.0,1.6,2.8,35.5,0.9,20.3,10.9,0.51,0.905
30.1,6.2,5.5,0.9,2.0,2.2,34.0,1.3,19.8,8.7,0.535,0.874
6.3,2.4,1.9,0.1,0.7,1.1,16.2,0.6,5.4,1.1,0.447,0.868
3.9,1.4,1.2,0.2,0.6,0.6,13.4,0.6,3.5,0.5,0.418,0.844
6.6,1.8,1.6,0.1,0.5,0.7,16.3,1.1,5.3,0.8,0.446,0.921
12.1,2.7,3.4,0.4,0.7,1.2,29.6,2.2,10.3,0.7,0.454,0.808
15.2,2.9,3.3,0.3,1.1,1.3,29.4,2.7,11.5,1.7,0.485,0.725
10.2,2.6,3.5,0.4,0.7,0.8,24.4,1.9,8.8,0.7,0.443,0.766
16.3,1.1,5.8,2.3,0.9,1.7,27.3,1.6,13.3,4.4,0.415,0.823
18.6,1.0,6.8,3.0,1.0,1.7,28.4,1.6,13.0,4.9,0.506,0.788
22.5,2.3,5.5,1.6,1.2,2.4,32.2,1.8,17.6,6.3,0.444,0.808
3.1,0.3,1.5,0.1,0.1,0.2,7.4,0.5,2.8,0.7,0.365,0.727
6.6,0.5,2.8,0.2,0.4,0.8,15.1,1.0,5.3,1.0,0.458,0.767
7.2,0.7,2.4,0.2,0.4,0.7,18.1,1.0,6.0,0.7,0.462,0.909
9.2,1.1,3.8,0.5,1.0,0.9,22.9,1.1,6.8,1.6,0.507,0.763
9.6,1.6,4.8,0.4,1.0,1.1,29.3,1.2,7.7,1.6,0.464,0.805
10.0,2.2,4.4,0.5,0.7,1.2,27.4,1.3,8.7,1.5,0.431,0.778
7.7,2.5,4.0,0.5,1.2,0.9,26.3,0.9,6.0,1.5,0.482,0.701
7.5,3.7,3.9,0.6,1.1,1.6,26.9,1.0,7.7,1.2,0.381,0.606
10.8,2.7,4.5,0.5,1.4,1.5,22.7,1.9,9.5,1.6,0.404,0.75
10.1,2.6,4.1,0.5,1.6,1.3,27.9,2.0,8.5,1.1,0.425,0.793
11.1,3.0,3.7,0.4,1.6,1.0,26.9,2.0,9.5,2.1,0.386,0.835
8.2,2.5,2.6,0.3,0.5,0.8,21.4,0.8,7.3,1.3,0.429,0.836
8.4,3.2,2.5,0.2,0.3,1.2,20.6,0.7,6.6,1.5,0.479,0.853
4.5,1.3,1.6,0.1,0.4,0.6,12.1,0.4,4.1,1.0,0.405,0.816
4.6,0.8,1.6,0.1,0.5,0.6,12.8,0.7,4.2,0.7,0.389,0.865
6.9,1.7,1.7,0.1,0.5,0.8,14.6,1.3,5.4,1.2,0.445,0.667
4.0,0.9,1.2,0.0,0.3,0.3,10.1,1.0,3.3,0.2,0.416,0.667
2.7,0.5,1.4,0.2,0.5,0.5,10.5,0.3,2.1,1.0,0.404,0.686
7.3,1.5,3.5,0.5,0.8,0.9,18.8,0.9,5.8,2.7,0.391,0.724
4.6,1.1,2.6,0.4,0.8,0.6,16.0,0.5,3.4,1.7,0.417,0.745
17.4,1.0,5.5,0.5,0.6,1.1,29.0,3.0,13.2,1.9,0.487,0.8
16.7,1.5,7.0,0.7,0.5,1.1,31.7,2.7,13.3,1.4,0.484,0.836
8.5,0.5,8.6,1.8,0.8,0.8,25.7,0.0,4.8,2.5,0.761,0.486
7.4,0.9,9.4,1.8,0.9,0.7,26.9,0.0,4.7,2.1,0.671,0.484
5.6,0.6,8.5,1.1,1.2,0.8,24.8,0.0,4.1,2.1,0.575,0.409
16.0,2.1,3.3,0.0,0.9,2.8,28.8,1.0,13.7,3.5,0.45,0.744
14.3,2.9,2.2,0.1,0.6,1.8,23.9,1.0,9.8,4.1,0.506,0.819
18.7,4.9,2.6,0.2,0.8,2.1,26.6,1.6,13.3,4.7,0.487,0.859
8.3,1.6,1.8,0.1,0.4,0.6,20.8,1.8,7.0,1.2,0.394,0.84
8.7,2.3,1.7,0.1,0.7,0.9,20.2,1.9,7.5,1.3,0.377,0.882
7.1,1.2,1.3,0.2,0.5,0.7,15.8,1.2,6.0,1.0,0.431,0.826
17.3,3.9,2.6,0.1,0.5,2.0,29.5,3.1,14.0,2.0,0.443,0.888
21.1,4.1,2.6,0.2,0.7,2.1,35.0,3.4,16.9,2.9,0.447,0.894
22.6,5.5,3.6,0.1,0.5,2.7,34.4,3.4,18.2,3.9,0.43,0.916
18.3,2.0,2.7,0.3,1.7,1.0,35.0,3.0,15.5,2.9,0.414,0.853
17.4,1.6,2.6,0.2,1.6,0.8,32.1,2.5,14.2,3.1,0.433,0.839
13.7,1.7,2.6,0.1,1.1,0.7,28.1,2.5,11.9,1.4,0.426,0.771
6.9,1.3,8.4,0.6,1.3,1.0,25.4,0.0,4.9,1.8,0.587,0.656
7.9,2.4,7.5,0.3,1.1,1.2,24.1,0.4,5.8,1.8,0.548,0.691
5.2,1.2,4.8,0.2,1.2,1.0,20.0,0.3,3.9,1.2,0.518,0.667
9.0,1.4,3.7,0.2,0.3,0.9,15.2,1.0,6.3,2.0,0.497,0.806
10.5,1.5,4.5,0.2,0.6,1.2,19.5,0.9,6.9,3.2,0.5,0.841
10.9,1.2,4.3,0.3,0.5,1.2,17.7,0.5,6.9,2.6,0.601,0.814
12.1,2.2,2.6,0.3,0.6,1.0,23.0,1.6,10.9,2.1,0.407,0.784
11.7,1.1,1.9,0.3,0.5,0.8,23.2,1.6,9.4,1.9,0.448,0.858
9.7,1.3,2.2,0.3,0.6,0.9,17.4,1.8,8.5,1.0,0.423,0.763
10.3,2.3,5.2,0.9,0.9,1.3,27.2,1.7,8.2,1.2,0.47,0.716
15.7,2.4,4.9,1.1,0.9,1.5,32.6,2.0,13.4,2.4,0.444,0.73
12.9,1.9,5.6,0.8,1.0,1.3,30.4,1.8,11.1,2.0,0.436,0.683
7.4,2.2,4.5,0.2,0.9,0.9,21.9,0.8,6.5,1.1,0.461,0.545
8.0,2.0,4.9,0.3,0.8,0.6,22.8,0.9,6.5,0.7,0.517,0.436
4.7,1.3,3.0,0.1,0.6,0.5,14.9,0.8,4.1,0.2,0.468,0.5
28.4,9.7,3.7,0.1,0.9,4.0,34.9,3.1,20.3,7.3,0.46,0.904
26.2,10.2,3.0,0.1,1.1,4.1,34.8,2.1,19.0,8.8,0.429,0.886
25.7,10.8,2.8,0.2,1.3,4.4,36.0,3.2,18.7,7.5,0.43,0.855
17.2,1.4,10.2,0.7,0.7,1.6,29.5,0.1,12.0,2.4,0.634,0.746
18.0,1.7,10.0,0.8,0.6,1.8,30.4,0.1,13.2,3.0,0.589,0.76
16.7,1.6,11.1,0.8,1.0,1.8,32.4,0.0,13.6,1.4,0.57,0.823
28.4,8.7,9.1,0.6,1.2,4.5,35.4,3.1,21.6,7.5,0.457,0.744
32.4,8.0,8.6,0.5,1.4,3.6,36.2,2.8,22.0,10.5,0.496,0.742
33.9,9.8,9.2,0.5,1.4,4.0,37.5,4.1,23.6,8.7,0.487,0.786
7.0,1.1,3.5,0.8,0.4,0.9,14.6,0.5,5.0,1.9,0.52,0.681
4.4,1.0,3.6,0.7,0.4,0.6,12.0,0.2,3.3,1.1,0.552,0.548
5.0,1.3,4.6,1.2,0.5,0.7,15.4,0.0,3.4,1.4,0.603,0.655
9.1,1.1,5.3,0.4,0.7,0.8,23.3,1.2,7.6,2.4,0.411,0.695
6.1,0.7,3.4,0.2,0.5,0.5,16.7,0.7,4.9,2.2,0.386,0.717
3.7,0.8,2.9,0.1,0.3,0.4,11.5,0.3,2.8,1.5,0.444,0.602
10.4,1.3,3.1,0.4,0.8,1.1,17.9,1.6,8.9,1.5,0.423,0.818
6.7,1.0,2.2,0.2,0.7,0.8,13.1,1.4,5.7,0.7,0.423,0.791
10.0,2.0,9.6,2.2,0.9,1.0,29.6,0.0,6.0,1.5,0.736,0.722
8.0,1.4,8.3,1.4,0.6,1.0,23.5,0.0,4.9,1.2,0.747,0.61
5.8,1.1,5.9,1.7,0.7,0.9,17.6,0.1,3.9,0.9,0.641,0.882
11.3,1.1,3.8,0.2,0.5,0.8,22.5,1.3,9.1,1.6,0.491,0.697
11.2,0.9,4.5,0.4,0.3,0.8,23.3,0.8,9.3,1.9,0.486,0.739
13.6,1.2,4.3,0.4,0.6,0.7,26.8,1.4,9.9,2.0,0.537,0.739
6.6,1.0,4.1,0.4,0.2,0.9,14.2,0.3,4.9,1.5,0.528,0.752
4.9,1.2,3.1,0.6,0.4,0.6,13.6,0.2,3.7,1.2,0.515,0.8
10.9,1.6,2.6,0.2,0.5,0.8,25.9,2.9,9.2,0.8,0.399,0.836
6.4,1.1,1.6,0.0,0.3,0.7,16.4,1.5,5.6,0.8,0.371,0.906
12.9,2.8,2.5,0.2,0.7,1.4,28.0,2.8,9.9,1.3,0.45,0.889
3.8,2.9,1.5,0.2,0.9,0.6,14.5,0.4,3.2,0.6,0.44,0.75
3.7,3.4,1.4,0.1,0.7,0.8,15.8,0.6,3.4,0.4,0.421,0.833
3.5,2.0,1.3,0.1,0.6,0.3,11.2,0.8,2.6,0.3,0.483,0.722
8.7,3.1,1.9,0.2,0.9,1.4,23.4,1.8,7.5,0.8,0.417,0.815
9.4,2.5,2.1,0.1,0.9,1.4,25.9,1.7,8.3,1.1,0.402,0.872
3.1,1.9,0.8,0.0,0.8,0.5,19.8,0.3,4.5,0.2,0.306,0.5
7.7,1.2,5.4,0.6,0.4,1.1,17.5,0.1,5.2,1.8,0.596,0.762
6.6,1.3,5.4,1.3,0.5,0.9,20.3,0.1,4.3,1.6,0.641,0.664
5.1,0.8,4.3,0.8,0.4,0.8,15.6,0.0,3.4,1.2,0.601,0.774
