PLAYER_ID,PLAYER_NAME,TEAM_NAME,TEAM_ABBREVIATION,SEASON,SEASON_ORDER,SCHOOL,COUNTRY,DRAFT_YEAR,HEIGHT
201959,Taj Gibson,New York Knicks,NYK,2020-21,1,Southern California,USA,2009,6-9
201959,Taj Gibson,New York Knicks,NYK,2021-22,2,Southern California,USA,2009,6-9
201959,Taj Gibson,Washington Wizards,WAS,2022-23,3,Southern California,USA,2009,6-9
201988,Patty Mills,San Antonio Spurs,SAS,2020-21,1,St. Mary's,Australia,2009,6-2
201988,Patty Mills,Brooklyn Nets,BKN,2021-22,2,St. Mary's,Australia,2009,6-2
201988,Patty Mills,Brooklyn Nets,BKN,2022-23,3,St. Mary's,Australia,2009,6-2
202066,Garrett Temple,Chicago Bulls,CHI,2020-21,1,Louisiana State,USA,Undrafted,6-5
202066,Garrett Temple,New Orleans Pelicans,NOP,2021-22,2,Louisiana State,USA,Undrafted,6-5
202066,Garrett Temple,New Orleans Pelicans,NOP,2022-23,3,Louisiana State,USA,Undrafted,6-5
202331,Paul George,LA Clippers,LAC,2020-21,1,Fresno State,USA,2010,6-8
202331,Paul George,LA Clippers,LAC,2021-22,2,Fresno State,USA,2010,6-8
202331,Paul George,LA Clippers,LAC,2022-23,3,Fresno State,USA,2010,6-8
202681,Kyrie Irving,Brooklyn Nets,BKN,2020-21,1,Duke,Australia,2011,6-2
202681,Kyrie Irving,Brooklyn Nets,BKN,2021-22,2,Duke,Australia,2011,6-2
202681,Kyrie Irving,Dallas Mavericks,DAL,2022-23,3,Duke,Australia,2011,6-2
202684,Tristan Thompson,Boston Celtics,BOS,2020-21,1,Texas-Austin,Canada,2011,6-9
202684,Tristan Thompson,Chicago Bulls,CHI,2021-22,2,Texas-Austin,Canada,2011,6-9
202685,Jonas Valančiūnas,Memphis Grizzlies,MEM,2020-21,1,Lietuvos rytas Vilnius,Lithuania,2011,6-11
202685,Jonas Valančiūnas,New Orleans Pelicans,NOP,2021-22,2,Lietuvos rytas Vilnius,Lithuania,2011,6-11
202685,Jonas Valančiūnas,New Orleans Pelicans,NOP,2022-23,3,Lietuvos rytas Vilnius,Lithuania,2011,6-11
202687,Bismack Biyombo,Charlotte Hornets,CHA,2020-21,1,Baloncesto Fuenlabrada,DRC,2011,6-8
202687,Bismack Biyombo,Phoenix Suns,PHX,2021-22,2,Baloncesto Fuenlabrada,DRC,2011,6-8
202687,Bismack Biyombo,Phoenix Suns,PHX,2022-23,3,Baloncesto Fuenlabrada,DRC,2011,6-8
202691,Klay Thompson,Golden State Warriors,GSW,2021-22,2,Washington State,USA,2011,6-5
202691,Klay Thompson,Golden State Warriors,GSW,2022-23,3,Washington State,USA,2011,6-5
202692,Alec Burks,New York Knicks,NYK,2020-21,1,Colorado,USA,2011,6-5
202692,Alec Burks,New York Knicks,NYK,2021-22,2,Colorado,USA,2011,6-5
202692,Alec Burks,Detroit Pistons,DET,2022-23,3,Colorado,USA,2011,6-5
202693,Markieff Morris,Los Angeles Lakers,LAL,2020-21,1,Kansas,USA,2011,6-9
202693,Markieff Morris,Miami Heat,MIA,2021-22,2,Kansas,USA,2011,6-9
202693,Markieff Morris,Dallas Mavericks,DAL,2022-23,3,Kansas,USA,2011,6-9
202695,Kawhi Leonard,LA Clippers,LAC,2020-21,1,San Diego State,USA,2011,6-6
202695,Kawhi Leonard,LA Clippers,LAC,2022-23,3,San Diego State,USA,2011,6-6
202696,Nikola Vučević,Chicago Bulls,CHI,2020-21,1,Southern California,Montenegro,2011,6-9
202696,Nikola Vučević,Chicago Bulls,CHI,2021-22,2,Southern California,Montenegro,2011,6-9
202696,Nikola Vučević,Chicago Bulls,CHI,2022-23,3,Southern California,Montenegro,2011,6-9
202699,Tobias Harris,Philadelphia 76ers,PHI,2020-21,1,Tennessee,USA,2011,6-8
202699,Tobias Harris,Philadelphia 76ers,PHI,2021-22,2,Tennessee,USA,2011,6-8
